inning,estimated_woba_using_speedangle,outs_when_up,Swing
6,0.139,2,
5,0.161,2,
5,0.003,0,0
4,0,2,
5,0.005,0,0
6,,0,0
5,0.126,0,0
3,0.056,2,
4,0.805,0,0
3,1.045,2,
2,0.018,2,
4,0.416,0,0
4,0.614,1,0
3,0.005,0,0
2,0.126,2,
2,0.983,0,0
2,0.429,0,0
2,0.09,0,0
1,0.684,2,
1,0.828,2,
1,0.003,1,1
1,0.318,1,0
1,0.042,0,1
1,0.979,0,0
1,0.015,0,0
6,0.133,1,1
6,0.014,1,0
5,0.553,2,
5,0.126,0,0
4,0.095,2,
5,0.305,1,0
4,0.194,2,
5,0.369,0,0
5,0.081,0,0
5,0.028,2,
4,0.138,1,0
4,0.078,2,
3,0.003,1,1
4,0.005,0,0
3,0.129,2,
4,0.102,2,
4,0.416,2,
2,0.123,2,
3,0.024,1,1
3,0.108,1,0
3,0.383,0,0
2,0.003,2,
2,0.32,1,1
2,0.242,2,
1,0.18,2,
2,0.221,0,0
2,0.215,0,0
1,0.003,2,
2,0.063,0,0
1,0.222,2,
1,0.036,1,0
5,0.14,2,
5,0.098,2,
6,0.207,1,0
6,0.186,1,0
6,0.07,1,1
6,0.201,1,0
7,0.003,0,0
4,0.093,2,
5,0.139,0,1
4,0.007,2,
4,0.21,1,0
3,0.759,1,0
4,0.031,0,0
5,0.085,0,0
4,0.536,1,0
4,0.045,0,0
4,0.397,0,0
3,0.113,0,0
3,0.405,2,
3,0.423,1,0
3,0.111,1,0
2,0.117,2,
3,0.251,0,0
3,0,0,0
2,0.569,1,0
2,0.642,1,1
2,0.021,0,0
1,0.187,2,
1,0.082,0,1
1,0.219,2,
2,0.029,2,
1,0.25,2,
1,0,2,
2,0.075,0,0
1,0.01,2,
1,0.536,2,
1,0.007,0,0
6,0.255,2,
6,0.402,1,0
5,0.134,1,0
3,0.483,2,
3,0.149,0,0
4,0.046,1,0
3,0.273,2,
3,0.008,2,
2,0.354,2,
3,0.208,1,0
3,0.857,1,0
2,0.175,2,
1,0.098,1,1
1,0.006,0,0
6,0.533,1,0
6,0.005,0,1
7,1.202,1,0
6,0.008,1,0
5,0.273,2,
5,0.545,2,
5,0.556,1,0
4,0.312,0,0
5,0.144,0,1
5,0.401,1,1
5,0.03,1,0
4,0.062,2,
4,0.022,2,
5,0.018,1,0
4,0.275,1,0
3,0.506,1,1
3,0.008,2,
4,0.231,0,0
4,1.55,2,
4,0.01,2,
4,0.216,1,1
3,0.123,1,0
4,0.037,0,0
3,0.458,2,
3,0.006,2,
4,0.003,0,0
3,0.152,2,
3,0.033,1,1
3,0.129,1,1
2,0.147,1,0
2,0.093,0,1
2,0.568,2,
3,0.106,0,0
2,0.03,0,0
2,0.491,2,
2,0.057,0,0
2,0.941,1,0
1,1.282,1,0
1,0.452,1,0
1,0.225,0,0
1,0,0,0
1,0.306,0,0
6,0.265,1,0
5,0.691,2,
6,0.544,2,
5,0.1,1,0
5,0.077,2,
6,0.213,2,
6,0.736,0,1
5,0.058,1,0
5,0.067,1,1
5,0.357,1,0
4,0.006,0,1
3,0.253,2,
5,0.425,0,0
4,0.733,0,1
4,0.059,2,
3,0.107,2,
4,0.058,0,0
4,0.569,2,
3,0.248,2,
3,0.189,1,0
3,0.07,0,0
3,0.216,0,0
3,0.054,2,
2,0.32,1,0
3,0.009,2,
2,0.109,0,0
2,0.321,2,
3,0.879,2,
2,1.567,1,1
3,0.063,0,0
1,0.121,2,
3,0.095,0,0
2,0.397,1,0
2,0.357,2,
2,0,0,0
2,0.052,0,0
2,0.387,2,
1,0.136,2,
1,0.45,2,
1,0.082,1,0
1,0.942,2,
1,1.146,2,
1,0.355,0,0
1,0.121,0,0
1,0.741,0,0
1,0.129,0,0
6,0.763,1,0
6,0.059,1,1
5,0.01,2,
8,0.506,2,
8,0.051,1,1
6,0.78,1,0
5,0.509,1,0
5,0.452,0,1
5,0.029,2,
5,0.471,1,0
3,0.643,2,
5,0.121,2,
5,0.875,0,
3,0.887,2,
4,0.095,1,1
3,0.684,0,0
3,0,0,0
3,0.01,0,0
1,0.898,1,0
2,0.397,0,0
2,0.114,0,0
1,0.979,0,1
1,0.008,1,0
7,0.203,1,0
6,0.205,1,0
5,0.043,1,0
4,0.165,1,0
6,0.519,2,
5,0.077,0,0
5,0.511,1,0
7,0.2,0,0
5,0.357,0,0
4,0.051,2,
4,0.208,1,0
5,0.108,1,0
4,0.076,0,0
3,0.152,2,
4,0.661,0,1
4,0.19,0,0
4,0.12,1,0
5,0.407,0,0
3,0.025,1,0
4,0.257,1,1
3,1.204,1,1
3,1.079,1,0
3,0,0,1
2,0.077,1,0
3,0.167,0,0
3,0.18,1,0
2,0.067,0,0
2,0.116,1,0
2,0.078,2,
2,0.273,0,0
1,0.053,2,
1,0.247,2,
2,0.054,1,0
1,0.205,2,
1,0.007,1,0
1,0.021,2,
1,0,1,0
1,0.355,1,1
1,0.169,2,
1,0.304,0,0
1,0.253,0,0
6,0.602,1,0
7,0.153,1,0
6,0.432,2,
4,0.065,2,
5,0.094,2,
6,0.097,2,
6,0.073,2,
6,0.646,1,0
5,0.211,0,1
4,0.245,2,
5,0.114,2,
4,0.16,2,
3,0.633,2,
5,0.033,2,
5,0.015,1,0
4,0,2,
4,0.013,0,0
4,0.003,0,0
3,0.304,2,
4,0.129,2,
4,0.003,1,1
4,0.116,2,
4,0,0,0
3,0.229,2,
3,0.011,1,0
3,0.009,2,
3,0.136,0,0
2,0.082,2,
2,0.093,1,1
2,0.28,2,
1,0.165,2,
2,0.053,1,0
3,0.06,0,0
2,0.015,0,0
3,0.116,0,0
2,0.418,2,
2,0.785,0,0
2,0.09,1,0
1,0.031,1,0
1,0.144,1,0
1,0.459,1,0
1,0.095,0,0
1,0.029,0,0
1,0.075,0,0
1,0.506,0,0
6,0.098,2,
6,0.672,1,0
6,0.033,1,0
6,,2,
5,0.06,2,
5,0.003,1,1
6,0.265,2,
5,0,1,0
4,0.003,2,
4,0,1,1
4,0.179,0,0
6,0.614,1,1
6,0.003,2,
5,0.039,2,
6,0.073,0,0
6,0.103,0,0
5,0.049,0,1
4,0.249,1,
5,0.304,2,
4,0.519,2,
3,0.007,1,1
4,0.011,1,0
3,0.003,2,
3,0.299,1,1
4,0.183,0,0
3,0.569,2,
3,0.031,1,0
3,0.734,1,0
4,0.097,2,
3,0.015,1,0
3,0.086,0,0
2,0.602,0,0
2,0.003,0,0
2,0.101,1,0
2,0.629,0,0
2,0.157,2,
2,0.082,0,0
2,0.316,1,0
2,0.276,0,0
2,1.227,0,0
1,0.008,1,0
1,0.289,1,0
1,0.409,0,0
1,0.034,1,0
1,0.003,2,
1,0.254,0,0
1,0.259,2,
1,0.071,1,1
1,0.499,0,0
1,0.015,0,0
5,0.154,2,
6,1.877,2,
6,0.094,1,1
7,0.147,0,0
5,0.02,2,
5,0.037,1,1
6,0.005,0,0
5,0.368,2,
5,0.08,2,
5,0.208,1,1
4,0.169,0,0
6,0.256,2,
4,0,2,
5,0.096,0,0
4,0.279,1,1
3,0.017,2,
3,0.033,2,
4,0.53,2,
3,0.033,0,0
4,0.702,0,0
3,0.328,0,0
3,0.134,1,0
3,0.486,0,0
2,0.132,1,0
2,0.356,0,0
1,0.055,1,0
1,0.013,1,0
1,0.211,0,0
7,0.029,2,
7,0.193,1,0
8,0.003,1,0
6,0.003,2,
6,0.868,1,1
6,0.295,0,0
5,0,0,0
4,0.025,0,0
5,0.165,0,0
5,0.291,2,
3,0.003,2,
5,0.276,1,0
4,0.051,2,
2,0.072,2,
4,0,2,
4,0.021,1,1
4,0.01,1,0
3,0,0,0
4,0.003,1,0
3,0.219,0,0
4,0.21,1,0
3,0.201,0,1
2,0.082,2,
3,0.866,0,1
3,0.055,1,0
2,0.087,2,
3,0.024,0,0
